Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,21993.35938,22189.31055,21883.82031,22150.40039,22150.40039,1302378400
1/4/2017,22201.08008,22228.06055,22076.63086,22134.4707,22134.4707,1437672200
1/5/2017,22302.64063,22483.00977,22230.31055,22456.68945,22456.68945,1830652300
1/6/2017,22583.28906,22605.66016,22445.7793,22503.00977,22503.00977,1389973700
1/9/2017,22561.10938,22626.42969,22476.34961,22558.68945,22558.68945,1303532900
1/10/2017,22561.16992,22744.84961,22549.85938,22744.84961,22744.84961,1422515900
1/11/2017,22816.00977,22944.58008,22767.36914,22935.34961,22935.34961,1554104200
1/12/2017,22956.43945,22971.49023,22751.66992,22829.01953,22829.01953,1454667000
1/13/2017,22879.57031,22971.44922,22859.2793,22937.38086,22937.38086,1371840300
1/16/2017,22895.35938,22908.85938,22657.34961,22718.15039,22718.15039,1313357700
1/17/2017,22819.86914,22867.83984,22710.92969,22840.9707,22840.9707,1019618000
1/18/2017,22889.33008,23151.75,22882.01953,23098.25977,23098.25977,1689344500
1/19/2017,23104.34961,23104.34961,22941.96094,23049.96094,23049.96094,1174126300
1/20/2017,22966.5293,22987.67969,22858.25,22885.91016,22885.91016,1207476100
1/23/2017,22926.30078,23068.08008,22861.28906,22898.51953,22898.51953,1068403800
1/24/2017,22965.25,22986.44922,22907.7793,22949.85938,22949.85938,1462887100
1/25/2017,23066.40039,23066.40039,22961.38086,23049.11914,23049.11914,1185813200
1/26/2017,23173.46094,23386.41016,23145.31055,23374.16992,23374.16992,1856554500
1/27/2017,23339.15039,23397.08984,23307.05078,23360.7793,23360.7793,777897700
2/1/2017,23211.88086,23318.39063,23082.61914,23318.39063,23318.39063,1515037600
2/2/2017,23309.46094,23439.01953,23131.36914,23184.51953,23184.51953,987795900
2/3/2017,23216.9707,23226.91992,22997.46094,23129.21094,23129.21094,1339282100
2/6/2017,23239.28906,23348.24023,23149.69922,23348.24023,23348.24023,1439947300
2/7/2017,23287.89063,23403.59961,23256.68945,23331.57031,23331.57031,1523355600
2/8/2017,23284.75977,23520.76953,23160.99023,23485.13086,23485.13086,2601105500
2/9/2017,23533.51953,23644.63086,23489.65039,23525.14063,23525.14063,2741007400
2/10/2017,23645.90039,23718.4707,23573.84961,23574.98047,23574.98047,2143167300
2/13/2017,23664.5293,23751.91992,23615.39063,23710.98047,23710.98047,1990274600
2/14/2017,23695.28906,23735.10938,23614.4707,23703.00977,23703.00977,1957113500
2/15/2017,23771.94922,24067.61914,23771.94922,23994.86914,23994.86914,3843901700
2/16/2017,24139.31055,24161.39063,23969.57031,24107.69922,24107.69922,3806666400
2/17/2017,24077.86914,24106.33984,23944.67969,24033.74023,24033.74023,2302691000
2/20/2017,24066,24202.33984,24022.15039,24146.08008,24146.08008,1936955000
2/21/2017,24174.10938,24213.64063,23909.15039,23963.63086,23963.63086,1839886700
2/22/2017,24059.08984,24201.96094,23999.55078,24201.96094,24201.96094,2230148000
2/23/2017,24122.17969,24216.5293,24046.91016,24114.85938,24114.85938,1880958700
2/24/2017,24115.60938,24121.91016,23958.13086,23965.69922,23965.69922,1750717000
2/27/2017,23941.81055,24067.67969,23822.88086,23925.05078,23925.05078,1727456200
2/28/2017,23952.64063,24007.81055,23740.73047,23740.73047,23740.73047,1666247300
3/1/2017,23849.2207,23857.2793,23730.05078,23776.49023,23776.49023,1648831300
3/2/2017,24044.48047,24080.86914,23694.33008,23728.07031,23728.07031,2111361200
3/3/2017,23618.35938,23635.24023,23511.59961,23552.7207,23552.7207,2387983900
3/6/2017,23600.49023,23691.05078,23574.2793,23596.2793,23596.2793,1442731400
3/7/2017,23630.34961,23728,23585.76953,23681.07031,23681.07031,1282674500
3/8/2017,23627.2793,23816.23047,23563.14063,23782.26953,23782.26953,1823218000
3/9/2017,23667.76953,23673.58008,23456.06055,23501.56055,23501.56055,1781279500
3/10/2017,23534.98047,23603.76953,23438.85938,23568.66992,23568.66992,1534086200
3/13/2017,23643.30078,23877.58984,23567.92969,23829.66992,23829.66992,2016201800
3/14/2017,23871,23918.11914,23768.33984,23827.94922,23827.94922,1857167800
3/15/2017,23705.07031,23842.81055,23645.50977,23792.84961,23792.84961,1352441800
3/16/2017,24101.98047,24288.2793,24003.75,24288.2793,24288.2793,2576719000
3/17/2017,24376.13086,24385.81055,24237.9707,24309.92969,24309.92969,2512650300
3/20/2017,24312.57031,24501.99023,24312.57031,24501.99023,24501.99023,1716660600
3/21/2017,24565.73047,24656.65039,24500.34961,24593.11914,24593.11914,2055170800
3/22/2017,24336.33008,24380.41992,24207.09961,24320.41016,24320.41016,2136581500
3/23/2017,24381.03906,24466.73047,24271.25977,24327.69922,24327.69922,1795481600
3/24/2017,24396.41016,24420.76953,24263.16992,24358.26953,24358.26953,1784280200
3/27/2017,24235.68945,24434.90039,24138.7793,24193.69922,24193.69922,1730336000
3/28/2017,24329.16992,24360,24274.51953,24345.86914,24345.86914,1506216800
3/29/2017,24470.66016,24470.66016,24330.69922,24392.05078,24392.05078,1834977400
3/30/2017,24429.11914,24431.11914,24250.40039,24301.08984,24301.08984,1768917100
3/31/2017,24305.5293,24329.98047,24105.38086,24111.58984,24111.58984,1733165500
4/3/2017,24236.56055,24261.48047,24162.55078,24261.48047,24261.48047,1708951000
4/5/2017,24370.94922,24400.80078,24166.00977,24400.80078,24400.80078,2697900400
4/6/2017,24310.41016,24381.63086,24210.68945,24273.7207,24273.7207,1722179300
