Date,Open,High,Low,Close,Adj Close,Volume
1/29/1993,43.96875,43.96875,43.75,43.9375,25.438097,1003200
2/1/1993,43.96875,44.25,43.96875,44.25,25.619013,480500
2/2/1993,44.21875,44.375,44.125,44.34375,25.673292,201300
2/3/1993,44.40625,44.84375,44.375,44.8125,25.944685,529400
2/4/1993,44.96875,45.09375,44.46875,45,26.053251,531500
2/5/1993,44.96875,45.0625,44.71875,44.96875,26.035156,492100
2/8/1993,44.96875,45.125,44.90625,44.96875,26.035156,596100
2/9/1993,44.8125,44.8125,44.5625,44.65625,25.854216,122100
2/10/1993,44.65625,44.75,44.53125,44.71875,25.890419,379600
2/11/1993,44.78125,45.125,44.78125,44.9375,26.017063,19500
2/12/1993,44.875,44.875,44.59375,44.59375,25.818047,42500
2/16/1993,44.46875,44.46875,43.40625,43.46875,25.166702,374800
2/17/1993,43.46875,43.53125,43.28125,43.4375,25.148626,210900
2/18/1993,43.9375,43.9375,42.8125,43.40625,25.130518,378100
2/19/1993,43.40625,43.5625,43.34375,43.5625,25.22098,34900
2/22/1993,43.6875,43.78125,43.5625,43.71875,25.311447,513600
2/23/1993,43.84375,43.875,43.46875,43.6875,25.293348,373700
2/24/1993,43.71875,44.25,43.71875,44.25,25.619013,26300
2/25/1993,44.21875,44.375,44.125,44.34375,25.673292,44500
2/26/1993,44.4375,44.4375,44.1875,44.40625,25.709467,66200
3/1/1993,44.5625,44.5625,44.21875,44.28125,25.637115,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,26.017063,182400
3/3/1993,45,45.15625,44.9375,45.125,26.125605,280100
3/4/1993,45.1875,45.1875,44.875,44.875,25.980871,89500
3/5/1993,44.9375,45.125,44.71875,44.75,25.90851,40000
3/8/1993,44.84375,45.75,44.84375,45.75,26.487461,50800
3/9/1993,45.65625,45.6875,45.5,45.59375,26.396994,169300
3/10/1993,45.59375,45.6875,45.40625,45.6875,26.451277,194400
3/11/1993,45.71875,45.84375,45.5,45.5625,26.378914,70900
3/12/1993,45.1875,45.21875,44.8125,45.09375,26.107513,643600
